OrderID,OrderDate,Customer,Region,Product,Quantity,Revenue,Cost,Profit
1,2024-04-10,Ashley Ross,Northeast,Printer,3,750,360,390
2,2023-11-24,Ariana Robertson,West,Mouse,4,160,40,120
3,2024-09-19,Sheila Curtis,South,Keyboard,3,225,60,165
4,2024-06-10,Tara Jones,Midwest,Mouse,4,160,40,120
5,2023-08-02,Jennifer Parks,Northeast,Keyboard,5,375,100,275
6,2024-05-06,Rebecca Perez,South,Tablet,5,3000,1750,1250
7,2023-12-24,Michael Cunningham,West,Keyboard,4,300,80,220
8,2024-04-10,Christina Cox,Midwest,Laptop,2,2400,1700,700
9,2024-04-15,Marissa Williams,Northeast,Laptop,1,1200,850,350
10,2023-07-29,Frederick Gordon,Northeast,Mouse,4,160,40,120
11,2023-05-09,James Castillo,South,Printer,4,1000,480,520
12,2024-11-15,Anthony Nelson,West,Tablet,4,2400,1400,1000
13,2023-03-25,Zachary Tucker,West,Printer,2,500,240,260
14,2023-03-28,Jacob Delgado,Northeast,Laptop,1,1200,850,350
15,2023-03-09,Derrick Gonzalez,South,Printer,3,750,360,390
16,2023-02-03,Stacy Clark,Midwest,Webcam,4,320,100,220
17,2023-12-20,Jason Hebert,Northeast,Webcam,5,400,125,275
18,2023-05-04,Jason Johnson,Midwest,Laptop,3,3600,2550,1050
19,2023-07-18,Lisa Bishop,South,Webcam,4,320,100,220
20,2024-10-23,Stephanie Garcia,West,Laptop,5,6000,4250,1750
21,2023-07-31,Michael Johnson,West,Laptop,2,2400,1700,700
22,2023-05-21,Amy Galvan,West,Monitor,4,1200,720,480
23,2024-04-09,Sarah Smith,South,Webcam,5,400,125,275
24,2024-04-20,Shannon Stewart,South,Monitor,2,600,360,240
25,2023-02-02,Mrs. Jenna Hernandez,West,Headphones,3,450,180,270
26,2024-10-09,Melissa Atkinson,West,Printer,4,1000,480,520
27,2023-12-18,Johnathan Torres,Northeast,Monitor,2,600,360,240
28,2024-05-18,Richard Cannon,West,Keyboard,3,225,60,165
29,2024-05-25,Daniel Taylor,West,Webcam,5,400,125,275
30,2024-09-28,Robert Tapia,West,Headphones,3,450,180,270
31,2023-09-20,Mrs. April Campbell,Northeast,Keyboard,3,225,60,165
32,2024-04-23,Matthew Spencer,West,Keyboard,5,375,100,275
33,2024-04-19,Adrian Reynolds,West,Keyboard,4,300,80,220
34,2024-07-14,Patrick Espinoza,South,Headphones,3,450,180,270
35,2024-04-12,Patricia Maddox,Midwest,Laptop,4,4800,3400,1400
36,2024-11-12,Brad Stevens,West,Monitor,3,900,540,360
37,2024-12-25,Travis Espinoza,Northeast,Printer,5,1250,600,650
38,2024-07-03,Robert Hooper,West,Headphones,2,300,120,180
39,2024-03-28,Nicole Sanchez,Midwest,Printer,1,250,120,130
40,2023-02-07,Nicholas Giles,Northeast,Headphones,3,450,180,270
41,2023-10-13,Tara Riley,South,Tablet,2,1200,700,500
42,2023-09-21,Deborah Barnett,Northeast,Keyboard,2,150,40,110
43,2024-06-22,Anthony Miller,Northeast,Monitor,4,1200,720,480
44,2023-06-12,David Turner,South,Tablet,2,1200,700,500
45,2023-04-15,Samantha Jefferson,Midwest,Headphones,4,600,240,360
46,2024-03-07,Jimmy Hamilton,Northeast,Tablet,2,1200,700,500
47,2023-09-06,Deborah Miller,West,Keyboard,4,300,80,220
48,2023-12-11,Melody Floyd,South,Keyboard,1,75,20,55
49,2024-02-09,Morgan Valentine,Midwest,Laptop,5,6000,4250,1750
50,2023-06-26,Rebecca Patel,Northeast,Keyboard,5,375,100,275
51,2023-06-17,Joseph Reyes,South,Tablet,5,3000,1750,1250
52,2023-10-21,Brian Boyd,South,Monitor,1,300,180,120
53,2024-05-29,Amber Johnson,Midwest,Webcam,2,160,50,110
54,2024-11-03,Thomas Peterson,South,Monitor,5,1500,900,600
55,2023-04-22,Anna Mcgrath,Northeast,Mouse,1,40,10,30
56,2024-11-20,Anthony Sandoval,Northeast,Keyboard,4,300,80,220
57,2023-08-08,Dustin Chavez,West,Printer,4,1000,480,520
58,2024-01-02,Anna Wise,West,Keyboard,1,75,20,55
59,2023-11-18,Elizabeth Bennett,Northeast,Tablet,4,2400,1400,1000
60,2024-02-11,Cody Wilson,Northeast,Headphones,2,300,120,180
61,2023-02-09,Eduardo May,West,Mouse,4,160,40,120
62,2024-02-20,John Smith,South,Mouse,3,120,30,90
63,2024-12-23,Larry Watts,West,Mouse,5,200,50,150
64,2023-09-20,Regina Rhodes,Northeast,Laptop,2,2400,1700,700
65,2024-05-10,Rhonda Becker,Northeast,Laptop,2,2400,1700,700
66,2024-09-20,Anna Henry,Northeast,Tablet,2,1200,700,500
67,2024-09-17,Andrew Munoz,South,Printer,2,500,240,260
68,2023-08-03,Bryan Nguyen,Northeast,Webcam,4,320,100,220
69,2024-02-25,James Richard,West,Laptop,1,1200,850,350
70,2024-01-06,Natalie Flowers,Northeast,Laptop,1,1200,850,350
71,2023-05-10,Wendy Anderson,Northeast,Laptop,5,6000,4250,1750
72,2023-11-14,Jeffrey Beck,Northeast,Laptop,5,6000,4250,1750
73,2023-04-07,Rhonda Orozco,West,Printer,3,750,360,390
74,2024-12-07,Raven Watkins,West,Printer,4,1000,480,520
75,2023-12-18,Sara Gallagher,West,Printer,5,1250,600,650
76,2023-07-01,Larry Rodriguez,West,Printer,2,500,240,260
77,2024-02-02,Caitlin Powers,Northeast,Keyboard,3,225,60,165
78,2024-08-13,Jessica Bryant,Northeast,Webcam,3,240,75,165
79,2023-04-15,John Franklin,West,Printer,5,1250,600,650
80,2023-10-26,David Gonzales,West,Webcam,4,320,100,220
81,2023-02-06,Frederick Todd,South,Keyboard,5,375,100,275
82,2023-09-05,Mark Davis,West,Mouse,4,160,40,120
83,2024-08-30,Cory Le,South,Keyboard,2,150,40,110
84,2024-06-03,Katherine Larson,Midwest,Tablet,1,600,350,250
85,2023-12-25,Emily Ortiz,Northeast,Mouse,2,80,20,60
86,2023-06-30,Anna Cline,Midwest,Keyboard,1,75,20,55
87,2024-08-30,Ariel Morales,West,Keyboard,2,150,40,110
88,2023-07-26,Jennifer Cook,West,Webcam,1,80,25,55
89,2023-02-20,Michele Blair,Northeast,Laptop,4,4800,3400,1400
90,2024-02-09,Keith Edwards,Northeast,Laptop,4,4800,3400,1400
91,2023-02-15,Mary Bowman,West,Tablet,1,600,350,250
92,2023-11-08,Joseph Berry,Midwest,Keyboard,2,150,40,110
93,2023-01-31,Michael Pearson,South,Tablet,5,3000,1750,1250
94,2023-09-17,George Morrow,Northeast,Printer,4,1000,480,520
95,2024-07-10,Shelly Mckenzie,Midwest,Tablet,2,1200,700,500
96,2023-08-27,Marco Mcintyre,South,Tablet,1,600,350,250
97,2024-05-12,Aaron Hayes,Northeast,Webcam,3,240,75,165
98,2023-01-11,Carol Sawyer,Northeast,Mouse,1,40,10,30
99,2023-03-24,Kayla Reynolds,Midwest,Headphones,1,150,60,90
100,2023-09-05,Norman Mckinney,West,Mouse,4,160,40,120
101,2023-02-08,Chad Scott,West,Tablet,2,1200,700,500
102,2024-10-14,John Gutierrez,Midwest,Monitor,4,1200,720,480
103,2023-10-04,Jeffrey Harris,South,Mouse,3,120,30,90
104,2024-12-02,Samuel Marsh,Northeast,Mouse,2,80,20,60
105,2024-11-11,Melissa Giles,Midwest,Monitor,3,900,540,360
106,2024-12-08,Julia Hernandez,South,Printer,2,500,240,260
107,2023-06-04,Adam Casey,West,Tablet,2,1200,700,500
108,2023-12-18,Elizabeth Mckinney,Northeast,Webcam,2,160,50,110
109,2023-12-07,Rachel Holland,Midwest,Monitor,1,300,180,120
110,2023-06-07,Sarah Harrington,Midwest,Tablet,1,600,350,250
111,2023-01-27,Anita Norman,South,Keyboard,1,75,20,55
112,2024-03-04,Stephen Wilson,Northeast,Webcam,3,240,75,165
113,2024-08-07,Bob Frazier,South,Webcam,2,160,50,110
114,2023-05-07,Richard Johnson,Northeast,Headphones,5,750,300,450
115,2024-02-21,John Spencer,South,Tablet,1,600,350,250
116,2023-11-06,Justin Hill,Northeast,Mouse,2,80,20,60
117,2024-01-22,Sabrina Walsh,Northeast,Printer,2,500,240,260
118,2023-02-01,Allison Shelton,West,Keyboard,4,300,80,220
119,2024-06-27,Robin Underwood,West,Printer,1,250,120,130
120,2024-09-14,Chelsea Martin,Northeast,Monitor,5,1500,900,600
121,2023-07-24,Dr. Amanda Harris MD,South,Headphones,5,750,300,450
122,2024-05-05,Heather Cannon,Northeast,Laptop,1,1200,850,350
123,2023-06-20,Veronica Bridges,West,Mouse,1,40,10,30
124,2024-03-07,Pamela Fuller,Midwest,Monitor,5,1500,900,600
125,2024-09-16,Michelle Smith,Midwest,Keyboard,3,225,60,165
126,2023-05-07,Frederick Zhang,Midwest,Laptop,1,1200,850,350
127,2023-07-31,Melissa Phillips,Midwest,Monitor,4,1200,720,480
128,2023-10-13,Mary Barnett,Northeast,Tablet,5,3000,1750,1250
129,2024-09-20,Dalton Smith,Midwest,Printer,1,250,120,130
130,2024-07-17,Heather Cardenas,Northeast,Mouse,2,80,20,60
131,2024-11-17,Jaclyn Weiss,West,Headphones,2,300,120,180
132,2024-11-11,Mathew Sellers,Northeast,Mouse,5,200,50,150
133,2024-11-28,Dawn York,Northeast,Tablet,2,1200,700,500
134,2023-02-28,Daniel Hoffman,Midwest,Webcam,2,160,50,110
135,2023-10-07,Rebecca Sanders,West,Printer,5,1250,600,650
136,2023-10-07,Dwayne Potter,Midwest,Keyboard,5,375,100,275
137,2024-04-20,Sharon Simmons,Northeast,Laptop,3,3600,2550,1050
138,2024-10-16,Joshua Barrett,West,Webcam,1,80,25,55
139,2023-05-08,Matthew Whitehead,Midwest,Monitor,3,900,540,360
140,2024-05-08,Melissa Taylor,Northeast,Headphones,2,300,120,180
141,2023-06-27,Keith Thompson,Northeast,Monitor,4,1200,720,480
142,2023-04-22,Austin Hammond,South,Headphones,2,300,120,180
143,2023-08-15,Amanda Gentry,Midwest,Headphones,2,300,120,180
144,2023-06-25,Randy Bishop,Northeast,Headphones,4,600,240,360
145,2023-03-24,Amber Coleman,Midwest,Laptop,1,1200,850,350
146,2024-03-09,Tiffany Butler,Northeast,Monitor,2,600,360,240
147,2024-11-20,Jacqueline Stevens,South,Webcam,3,240,75,165
148,2024-02-12,Joseph Brown,West,Mouse,1,40,10,30
149,2023-05-28,Cheryl Evans,South,Mouse,1,40,10,30
150,2024-03-18,Marcus Riggs,Northeast,Tablet,4,2400,1400,1000
151,2024-07-28,Julie Young,South,Mouse,4,160,40,120
152,2023-01-29,Kevin Frederick,West,Laptop,4,4800,3400,1400
153,2024-08-31,Michael Perry,West,Keyboard,1,75,20,55
154,2023-05-18,Jennifer Buckley,South,Headphones,4,600,240,360
155,2023-08-15,Alison Berry,Northeast,Laptop,5,6000,4250,1750
156,2024-06-16,Heidi Herrera,South,Webcam,5,400,125,275
157,2023-05-27,Jared Schultz,Northeast,Webcam,2,160,50,110
158,2024-12-11,Michael Brown,West,Monitor,2,600,360,240
159,2024-05-28,Mrs. Amy Reed,West,Headphones,5,750,300,450
160,2023-01-09,Joshua Le,Northeast,Mouse,5,200,50,150
161,2024-02-17,Brianna Ruiz,Midwest,Laptop,3,3600,2550,1050
162,2024-11-06,Benjamin Aguilar,South,Tablet,5,3000,1750,1250
163,2024-07-25,Joel Sanchez,Midwest,Mouse,2,80,20,60
164,2023-10-07,Barbara Brown,Midwest,Mouse,1,40,10,30
165,2024-11-12,Dawn Wagner,Northeast,Laptop,5,6000,4250,1750
166,2024-12-10,Margaret Le,Northeast,Monitor,2,600,360,240
167,2023-10-20,Christopher Moreno,South,Printer,1,250,120,130
168,2023-10-22,Laura Johnson,South,Webcam,2,160,50,110
